Temperature1,Temperature2,Pressure1,Pressure2,Temperature3,Temperature4,Pressure3,Pressure4,Temperature5,Temperature6,Pressure5,Pressure6
25,49,29,711,14,15,41,536,21,18,40,678
12,10,39,643,20,30,19,932,26,33,24,821
10,28,50,126,19,15,48,353,13,11,50,529
14,19,27,198,23,38,19,182,18,33,26,397
25,41,19,448,11,40,13,124,10,42,38,342
14,14,39,136,26,43,28,131,17,22,31,991
27,10,23,247,11,46,10,977,22,32,19,559
15,44,42,534,11,45,42,949,13,29,21,877
15,47,12,305,11,10,30,484,17,38,23,818
27,47,36,983,15,36,14,794,13,19,20,908
22,40,47,577,27,23,29,332,28,37,22,143
15,36,32,782,26,37,13,658,25,42,25,767
17,26,24,662,28,43,38,124,10,42,34,739
29,28,45,699,15,31,48,502,11,40,12,165
18,43,39,205,12,23,18,186,12,35,29,436
30,29,33,665,20,14,13,733,21,18,38,419
24,43,23,655,16,41,38,562,21,32,16,182
21,49,34,690,21,25,42,510,23,17,24,639
21,28,26,144,30,16,23,891,12,45,18,780
25,28,24,221,23,21,10,372,12,38,33,668
28,10,25,465,30,10,33,562,22,16,41,838
22,21,32,189,16,34,32,954,24,47,11,524
25,39,26,661,12,23,45,533,22,39,32,922
29,44,47,728,26,20,33,476,20,50,15,172
27,35,48,783,20,29,13,385,15,33,47,673
26,26,30,303,21,40,22,333,20,31,33,943
17,18,35,633,28,29,13,875,29,12,20,257
29,44,45,711,29,34,38,424,18,28,19,103
15,44,10,400,21,34,25,915,24,30,44,463
30,34,33,330,28,44,10,415,28,26,38,101
17,37,36,632,28,38,47,836,28,47,35,649
10,25,47,309,12,22,35,941,25,45,49,697
16,34,19,436,12,34,49,530,25,49,36,747
12,49,17,670,11,42,34,616,30,35,49,943
23,16,25,542,14,29,47,626,22,18,43,989
26,10,21,781,25,37,21,328,11,36,39,454
28,50,26,875,28,25,34,372,21,36,22,538
30,50,36,540,10,10,43,710,18,17,31,161
21,10,45,170,12,23,10,507,20,22,46,642
16,10,11,214,16,46,50,392,22,14,23,249
24,17,35,144,22,11,10,204,29,27,45,931
23,10,13,915,13,15,19,730,21,22,43,866
12,44,40,175,21,17,11,943,27,26,47,339
24,20,27,877,10,47,20,893,19,48,18,215
15,45,13,263,12,12,38,280,26,21,33,136
18,46,29,544,11,11,49,149,25,46,12,209
10,44,31,284,12,18,15,900,11,32,25,407
29,23,27,752,30,12,31,823,25,21,42,729
10,49,24,833,21,25,28,601,14,43,23,299
26,31,17,375,22,18,46,948,29,19,31,741
24,34,44,599,15,12,44,818,29,15,37,565
17,45,45,705,20,13,45,751,14,49,18,819
